"","gender","home_location","level_of_education","age_years","number_of_subjects","devices_used","economic_status","family_size","internet_facility","sport_engagement","elder_supervising","study_time","sleep_time","social_media_time","gaming_interest","separate_room_study","group_study_engagement","average_mark_score","online_mode_interaction","interested","performance_level","satisfaction_level"
"192","Male","Urban","Under Graduate","19","20","Laptop","Middle Class","4","5","No","No","4","10","2","Yes","Yes","No","91-100","3","Practical","6","Bad"
"193","Male","Urban","Under Graduate","21","7","Laptop","Middle Class","4","4","No","No","4","6","1","Yes","Yes","No","71-80","2","Practical","9","Average"
"194","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","4","4","Yes","No","7","7","2","Yes","Yes","No","91-100","3","Both","7","Average"
"195","Female","Urban","Under Graduate","22","6","Laptop","Middle Class","3","5","Yes","No","5","7","2","No","Yes","No","71-80","3","Theory","7","Bad"
"196","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","3","5","Yes","Yes","7","4","3","Yes","Yes","yes","91-100","3","Both","8","Average"
"197","Female","Urban","Under Graduate","19","3","Laptop","Middle Class","5","5","No","Yes","9","7","1","No","Yes","yes","71-80","3","Both","8","Good"
"198","Male","Urban","Under Graduate","17","6","Laptop","Middle Class","4","5","Yes","Yes","5","7","1","Yes","Yes","No","81-90","4","Practical","8","Average"
"199","Female","Urban","School","20","7","Laptop","Middle Class","5","5","No","No","4","5","2","No","Yes","yes","81-90","2","Both","5","Average"
"200","Female","Urban","Under Graduate","21","5","Laptop","Middle Class","4","4","No","No","10","1","3","Yes","No","yes","81-90","3","Practical","6","Average"
"201","Male","Rural","School","17","5","Desktop","Middle Class","6","4","No","Yes","5","10","6","Yes","Yes","yes","61-70","3","Practical","6","Average"
"202","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","3","4","No","No","6","8","1","No","No","No","71-80","3","Both","8","Bad"
"203","Female","Urban","Under Graduate","19","6","Laptop","Middle Class","3","4","No","No","9","7","2","No","Yes","No","91-100","2","Theory","7","Average"
"204","Male","Urban","Under Graduate","20","11","Laptop","Middle Class","4","5","No","No","5","7","3","No","No","No","81-90","3","Theory","8","Good"
"205","Female","Urban","School","18","6","Laptop","Middle Class","6","4","No","Yes","4","9","5","No","No","No","91-100","3","Both","10","Average"
"206","Female","Urban","School","19","3","Laptop","Middle Class","4","5","Yes","No","8","6","3","No","Yes","yes","71-80","3","Theory","7","Good"
"207","Female","Rural","Under Graduate","19","7","Mobile","Poor","6","2","No","Yes","6","5","2","Yes","No","yes","71-80","5","Theory","10","Good"
"208","Female","Rural","Under Graduate","21","5","Laptop","Middle Class","3","2","No","No","5","7","4","No","No","yes","81-90","2","Both","6","Bad"
"209","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","7","2","No","No","10","7","1","No","Yes","No","71-80","1","Both","2","Bad"
"210","Female","Urban","Under Graduate","18","8","Laptop","Middle Class","4","5","No","Yes","6","7","4","Yes","No","yes","91-100","1","Both","7","Average"
"211","Female","Urban","Under Graduate","19","6","Mobile","Middle Class","4","4","No","No","3","8","1","No","Yes","yes","71-80","3","Theory","8","Average"
"212","Female","Urban","Under Graduate","20","9","Laptop","Middle Class","5","3","No","No","3","4","8","No","No","No","91-100","3","Both","4","Bad"
"213","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","Yes","No","2","7","4","No","Yes","No","91-100","3","Both","6","Bad"
"214","Male","Urban","Under Graduate","19","6","Laptop","Middle Class","3","3","Yes","No","4","6","3","Yes","Yes","No","91-100","3","Both","8","Average"
"215","Male","Urban","Under Graduate","20","1","Laptop","Middle Class","6","5","Yes","No","5","5","3","Yes","Yes","No","91-100","3","Theory","8","Average"
"216","Male","Urban","Under Graduate","19","5","Laptop","Middle Class","4","5","Yes","No","5","8","2","Yes","Yes","yes","81-90","2","Both","10","Bad"
"217","Male","Urban","Under Graduate","19","5","Laptop","Rich","3","5","No","No","4","7","3","Yes","Yes","No","91-100","3","Theory","7","Average"
"218","Female","Urban","Post Graduate","19","7","Laptop","Middle Class","4","3","Yes","No","1","4","6","Yes","Yes","yes","81-90","4","Practical","4","Bad"
"219","Male","Urban","Under Graduate","19","9","Laptop","Middle Class","6","5","Yes","Yes","8","7","1","No","Yes","No","91-100","2","Both","8","Bad"
"220","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","3","4","No","No","4","7","4","Yes","Yes","No","91-100","4","Both","9","Average"
"221","Female","Urban","Under Graduate","18","7","Laptop","Middle Class","4","5","Yes","Yes","3","10","2","Yes","Yes","No","91-100","4","Practical","7","Average"
"222","Male","Urban","School","20","7","Laptop","Middle Class","4","5","Yes","Yes","3","6","2","Yes","Yes","No","91-100","1","Both","5","Bad"
"223","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","5","4","Yes","Yes","3","8","5","Yes","No","No","61-70","3","Practical","6","Good"
"224","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","5","4","Yes","Yes","3","6","4","Yes","Yes","No","71-80","2","Practical","4","Average"
"225","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","5","No","No","4","6","1","No","Yes","yes","81-90","3","Both","8","Average"
"226","Male","Urban","Under Graduate","21","9","Laptop","Middle Class","5","5","Yes","No","4","7","1","No","Yes","No","81-90","3","Both","8","Bad"
"227","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","No","No","5","8","2","Yes","Yes","yes","81-90","3","Practical","7","Bad"
"228","Female","Urban","Under Graduate","19","7","Laptop","Middle Class","3","3","Yes","No","3","5","4","No","Yes","No","81-90","3","Practical","5","Average"
"229","Male","Rural","School","19","7","Mobile","Middle Class","4","2","No","Yes","3","6","1","Yes","No","No","81-90","2","Theory","7","Average"
"230","Female","Urban","Under Graduate","20","20","Laptop","Middle Class","4","5","Yes","No","3","8","2","No","Yes","No","91-100","1","Practical","10","Average"
"231","Male","Urban","Under Graduate","17","5","Laptop","Middle Class","4","3","No","Yes","2","7","1","Yes","Yes","yes","81-90","2","Both","5","Bad"
"232","Male","Urban","School","17","5","Laptop","Middle Class","4","5","Yes","No","2","8","3","Yes","Yes","yes","71-80","3","Theory","7","Average"
"233","Male","Urban","Under Graduate","18","7","Laptop","Middle Class","6","5","No","No","4","6","2","Yes","No","yes","71-80","3","Practical","6","Bad"
"234","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","3","4","Yes","No","3","6","2","No","No","yes","71-80","3","Both","7","Good"
"235","Female","Rural","Under Graduate","19","7","Mobile","Middle Class","4","3","No","Yes","7","6","1","No","No","No","91-100","3","Practical","8","Average"
"236","Male","Urban","School","18","7","Laptop","Middle Class","3","4","No","Yes","4","6","2","Yes","Yes","No","91-100","4","Practical","6","Average"
"237","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","3","4","No","Yes","3","8","9","No","Yes","No","71-80","3","Both","6","Bad"
"238","Male","Urban","Under Graduate","20","7","Mobile","Middle Class","3","4","Yes","Yes","3","7","1","Yes","Yes","No","81-90","3","Practical","7","Bad"
"239","Male","Urban","Under Graduate","17","5","Laptop","Middle Class","4","3","Yes","No","2","5","2","Yes","Yes","yes","81-90","3","Both","6","Bad"
"240","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","5","4","No","No","4","5","3","No","Yes","No","81-90","4","Both","8","Good"
"241","Female","Urban","Under Graduate","17","6","Laptop","Middle Class","5","4","No","No","8","4","2","Yes","Yes","yes","81-90","2","Both","7","Bad"
"242","Female","Urban","Post Graduate","38","8","Laptop","Middle Class","4","5","No","Yes","10","5","3","No","Yes","No","91-100","5","Practical","9","Good"
"243","Male","Urban","Under Graduate","17","6","Desktop","Middle Class","5","4","No","Yes","5","7","8","Yes","Yes","yes","71-80","2","Practical","6","Average"
"244","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","3","4","No","No","3","8","9","No","Yes","No","71-80","2","Both","6","Bad"
"245","Male","Rural","Under Graduate","19","6","Laptop","Middle Class","4","3","Yes","Yes","4","7","1","Yes","Yes","No","81-90","3","Both","6","Average"
"246","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","5","No","No","2","5","5","Yes","No","yes","81-90","3","Practical","6","Average"
"247","Male","Urban","School","17","6","Laptop","Middle Class","4","4","Yes","No","1","10","8","Yes","Yes","No","71-80","2","Practical","7","Average"
"248","Male","Rural","Under Graduate","19","20","Laptop","Middle Class","4","2","Yes","Yes","2","9","3","Yes","No","No","71-80","3","Practical","7","Bad"
"249","Male","Rural","Under Graduate","20","8","Mobile","Middle Class","5","2","No","Yes","3","5","1","No","No","No","71-80","1","Both","4","Average"
"250","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","4","4","Yes","Yes","2","7","2","No","No","yes","71-80","2","Practical","5","Average"
"251","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","10","5","Yes","Yes","7","6","1","No","Yes","No","91-100","2","Practical","8","Average"
"252","Male","Urban","Under Graduate","18","8","Laptop","Middle Class","4","2","Yes","No","3","7","1","Yes","No","yes","61-70","3","Practical","7","Bad"
"253","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","3","Yes","Yes","3","7","2","Yes","Yes","yes","81-90","3","Both","6","Average"
"254","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","4","3","No","Yes","1","5","1","Yes","No","No","81-90","4","Practical","7","Average"
"255","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","4","3","No","Yes","2","7","4","No","Yes","No","81-90","2","Theory","7","Average"
"256","Male","Rural","Under Graduate","20","18","Laptop","Middle Class","3","4","Yes","Yes","6","8","2","No","Yes","No","71-80","2","Both","4","Average"
"257","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","4","4","Yes","No","2","5","3","Yes","No","yes","81-90","2","Practical","4","Bad"
"258","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","4","1","No","No","10","5","2","Yes","Yes","No","81-90","1","Practical","4","Bad"
"259","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","3","4","Yes","Yes","4","6","2","No","Yes","yes","81-90","3","Practical","8","Bad"
"260","Female","Urban","Under Graduate","19","5","Mobile","Middle Class","6","5","No","No","8","8","5","Yes","Yes","No","71-80","4","Practical","10","Good"
"261","Female","Urban","Under Graduate","18","5","Laptop","Middle Class","6","5","No","Yes","2","6","2","No","Yes","No","81-90","2","Both","2","Bad"
"262","Male","Urban","Under Graduate","20","7","Laptop","Rich","5","4","No","Yes","3","5","3","No","No","No","71-80","4","Both","7","Average"
"263","Male","Urban","Under Graduate","18","8","Laptop","Middle Class","4","4","Yes","Yes","3","6","2","No","No","No","81-90","1","Both","5","Average"
"264","Female","Urban","Under Graduate","20","7","Laptop","Middle Class","5","5","No","Yes","5","6","3","No","Yes","yes","51-60","3","Theory","7","Average"
"265","Female","Rural","Under Graduate","17","6","Laptop","Middle Class","4","2","No","No","3","7","2","Yes","Yes","No","71-80","3","Practical","7","Good"
"266","Male","Urban","School","18","6","Laptop","Middle Class","4","3","No","Yes","4","7","1","No","Yes","No","81-90","1","Practical","6","Bad"
"267","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","3","5","No","Yes","5","7","3","No","Yes","No","91-100","5","Both","10","Good"
"268","Male","Rural","Under Graduate","18","6","Laptop","Middle Class","3","3","Yes","Yes","8","1","1","Yes","Yes","No","91-100","3","Practical","4","Average"
"269","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","No","No","1","9","10","No","Yes","yes","61-70","1","Both","2","Bad"
"270","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","4","5","Yes","No","4","8","3","No","Yes","No","71-80","3","Both","7","Average"
"271","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","5","4","No","No","10","10","4","No","Yes","No","71-80","4","Both","10","Good"
"272","Female","Urban","Under Graduate","18","5","Mobile","Middle Class","6","4","No","Yes","6","5","2","No","No","No","81-90","3","Theory","7","Average"
"273","Male","Urban","School","18","7","Laptop","Middle Class","4","5","No","Yes","10","4","1","No","Yes","No","91-100","4","Theory","9","Good"
"274","Male","Urban","Under Graduate","18","4","Laptop","Middle Class","4","5","No","Yes","6","7","2","Yes","Yes","yes","71-80","3","Practical","8","Average"
"275","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","4","4","No","Yes","3","7","4","Yes","Yes","No","81-90","3","Practical","6","Average"
"276","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","6","3","Yes","Yes","6","6","1","No","Yes","No","91-100","4","Both","6","Good"
"277","Male","Rural","Under Graduate","21","8","Mobile","Middle Class","5","4","No","Yes","2","8","2","No","Yes","yes","61-70","3","Both","6","Good"
"278","Male","Urban","Under Graduate","19","9","Laptop","Middle Class","4","5","Yes","Yes","6","8","1","Yes","Yes","yes","81-90","5","Practical","5","Bad"
"279","Female","Urban","Under Graduate","18","7","Laptop","Middle Class","4","4","No","Yes","3","6","5","No","Yes","No","61-70","2","Both","7","Good"
"280","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","5","2","Yes","Yes","2","6","2","No","No","yes","81-90","3","Practical","6","Average"
"281","Male","Urban","School","19","6","Laptop","Middle Class","4","5","No","Yes","3","7","4","Yes","Yes","yes","71-80","3","Theory","6","Average"
"282","Male","Rural","Under Graduate","19","3","Laptop","Middle Class","8","4","Yes","No","2","10","1","Yes","No","yes","91-100","1","Practical","8","Bad"
"283","Female","Rural","Under Graduate","20","8","Laptop","Middle Class","4","4","No","No","4","6","3","No","Yes","yes","61-70","4","Both","7","Average"
"284","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","3","4","No","Yes","4","8","2","Yes","Yes","yes","81-90","3","Both","8","Good"
"285","Male","Urban","Under Graduate","20","6","Laptop","Middle Class","3","5","Yes","Yes","4","6","4","Yes","No","No","71-80","3","Both","8","Average"
"286","Male","Urban","Under Graduate","18","4","Laptop","Middle Class","4","3","Yes","No","6","8","1","No","No","No","81-90","2","Practical","3","Bad"
"287","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","4","3","No","No","3","7","2","No","Yes","yes","61-70","2","Both","6","Average"
"288","Male","Rural","Under Graduate","18","6","Laptop","Middle Class","3","3","No","No","6","7","3","Yes","Yes","No","71-80","4","Both","6","Average"
"289","Female","Urban","School","20","7","Laptop","Middle Class","4","4","No","No","4","8","4","Yes","Yes","No","71-80","2","Practical","8","Average"
"290","Male","Urban","School","20","8","Laptop","Middle Class","4","4","No","Yes","1","6","4","No","Yes","yes","61-70","1","Theory","7","Bad"
"291","Male","Rural","Under Graduate","17","5","Laptop","Rich","5","5","Yes","No","7","8","3","Yes","Yes","yes","91-100","4","Theory","7","Average"
"292","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","5","3","Yes","No","2","6","3","No","Yes","yes","71-80","3","Practical","7","Bad"
"293","Female","Rural","Under Graduate","20","7","Laptop","Poor","5","4","No","Yes","6","6","1","Yes","Yes","yes","71-80","5","Practical","9","Good"
"294","Male","Urban","Under Graduate","19","5","Laptop","Middle Class","4","4","Yes","Yes","2","6","1","No","No","No","91-100","3","Practical","6","Average"
"295","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","5","No","Yes","2","4","4","No","No","yes","31-40","1","Practical","8","Good"
"296","Male","Rural","Under Graduate","20","6","Laptop","Middle Class","5","2","No","Yes","3","7","2","Yes","No","No","81-90","3","Practical","4","Bad"
"297","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","4","4","No","Yes","6","7","1","No","Yes","yes","81-90","3","Both","7","Bad"
"298","Female","Urban","Under Graduate","21","7","Laptop","Middle Class","5","4","No","No","4","10","2","No","Yes","No","71-80","3","Both","8","Average"
"299","Female","Rural","Under Graduate","18","7","Laptop","Middle Class","4","3","Yes","Yes","7","8","5","Yes","Yes","No","71-80","2","Both","4","Bad"
"300","Male","Urban","School","19","6","Laptop","Middle Class","5","4","No","Yes","1","7","2","Yes","No","No","81-90","1","Practical","2","Bad"
"301","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","3","2","No","No","3","7","4","Yes","No","No","81-90","3","Both","3","Bad"
"302","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","5","5","No","No","3","8","3","Yes","Yes","yes","81-90","3","Both","6","Average"
"303","Male","Rural","Under Graduate","20","8","Mobile","Middle Class","4","2","No","No","5","3","1","No","Yes","yes","21-30","2","Theory","2","Average"
"304","Male","Rural","Under Graduate","20","6","Laptop","Middle Class","10","4","Yes","Yes","3","7","2","No","Yes","yes","71-80","3","Practical","8","Bad"
"305","Male","Urban","Under Graduate","20","20","Laptop","Middle Class","9","2","No","No","3","4","2","No","Yes","No","81-90","1","Both","8","Bad"
"306","Male","Rural","Under Graduate","22","9","Laptop","Middle Class","5","3","Yes","Yes","3","7","2","Yes","No","yes","61-70","3","Practical","8","Average"
"307","Male","Urban","Post Graduate","21","8","Laptop","Middle Class","4","5","Yes","Yes","2","7","3","Yes","Yes","yes","91-100","4","Both","9","Average"
"308","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","4","3","No","No","9","7","2","No","Yes","No","81-90","3","Both","5","Average"
"309","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","No","Yes","4","6","3","No","Yes","yes","71-80","4","Both","8","Average"
"310","Female","Urban","Under Graduate","20","4","Laptop","Middle Class","3","5","No","No","8","6","6","No","Yes","No","81-90","2","Both","8","Good"
"311","Male","Urban","Under Graduate","20","6","Laptop","Middle Class","4","3","Yes","Yes","6","7","2","Yes","Yes","yes","71-80","3","Practical","9","Bad"
"312","Female","Rural","Under Graduate","17","7","Laptop","Middle Class","4","3","Yes","Yes","8","6","2","No","Yes","No","81-90","5","Theory","8","Good"
"313","Male","Urban","Under Graduate","21","20","Mobile","Middle Class","3","4","No","No","5","10","3","Yes","Yes","No","81-90","3","Practical","7","Good"
"314","Female","Urban","Under Graduate","19","6","Laptop","Middle Class","3","3","No","Yes","6","7","1","No","Yes","yes","91-100","3","Both","8","Bad"
"315","Male","Rural","Under Graduate","21","8","Laptop","Middle Class","5","3","No","No","5","8","2","Yes","Yes","yes","61-70","3","Both","7","Average"
"316","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","2","4","Yes","No","10","6","1","No","Yes","yes","71-80","3","Both","6","Average"
"317","Male","Urban","Under Graduate","21","7","Laptop","Middle Class","4","4","Yes","No","5","6","2","No","No","yes","81-90","4","Both","8","Average"
"318","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","5","5","Yes","Yes","6","6","2","Yes","Yes","No","71-80","3","Practical","6","Good"
"319","Female","Urban","Under Graduate","18","4","Laptop","Middle Class","3","4","No","No","5","8","1","No","Yes","No","81-90","3","Theory","8","Good"
"320","Male","Urban","Under Graduate","21","5","Laptop","Middle Class","5","4","No","No","3","7","9","Yes","Yes","No","61-70","2","Practical","4","Bad"
"321","Male","Urban","Under Graduate","20","9","Laptop","Middle Class","5","4","Yes","Yes","2","8","2","No","No","yes","71-80","4","Both","8","Average"
"322","Male","Urban","School","20","8","Laptop","Middle Class","4","5","No","No","3","5","4","Yes","No","No","81-90","3","Both","8","Bad"
"323","Female","Urban","Under Graduate","17","7","Laptop","Rich","10","4","No","Yes","3","7","2","No","Yes","No","81-90","2","Practical","5","Bad"
"324","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","3","Yes","Yes","3","7","2","Yes","No","No","71-80","3","Practical","5","Average"
"325","Male","Urban","Under Graduate","21","7","Laptop","Middle Class","3","2","No","No","1","5","2","No","No","No","61-70","1","Theory","6","Good"
"326","Male","Urban","Under Graduate","21","6","Laptop","Middle Class","4","3","Yes","Yes","6","6","1","Yes","Yes","yes","31-40","1","Theory","6","Bad"
"327","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","4","5","Yes","Yes","2","5","1","No","Yes","No","71-80","1","Practical","6","Average"
"328","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","Yes","No","4","4","3","No","Yes","No","81-90","3","Both","6","Average"
"329","Female","Urban","School","19","7","Laptop","Middle Class","4","4","No","Yes","4","8","2","No","Yes","yes","91-100","3","Both","5","Bad"
"330","Female","Urban","School","19","7","Laptop","Middle Class","5","5","No","Yes","2","7","2","No","No","yes","81-90","1","Both","6","Average"
"331","Male","Rural","Under Graduate","20","8","Laptop","Middle Class","5","4","No","No","1","8","3","No","Yes","yes","71-80","1","Both","8","Good"
"332","Female","Urban","Under Graduate","20","9","Laptop","Middle Class","4","3","No","No","3","7","4","No","Yes","No","71-80","2","Theory","5","Average"
"333","Female","Urban","School","20","6","Laptop","Middle Class","4","5","Yes","Yes","5","9","3","Yes","Yes","yes","81-90","3","Both","6","Bad"
"334","Female","Urban","Under Graduate","19","7","Laptop","Rich","4","5","No","Yes","5","4","2","No","Yes","yes","81-90","3","Both","4","Bad"
"335","Female","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","No","No","2","8","3","No","No","yes","81-90","3","Theory","9","Average"
"336","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","4","5","Yes","Yes","1","6","4","Yes","No","yes","71-80","3","Practical","4","Average"
"337","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","Yes","No","4","4","2","Yes","Yes","No","81-90","3","Both","9","Average"
"338","Male","Urban","Under Graduate","20","7","Mobile","Middle Class","4","5","No","Yes","1","7","3","No","Yes","No","81-90","2","Both","6","Average"
"339","Male","Urban","Under Graduate","19","8","Mobile","Middle Class","4","4","Yes","No","6","8","1","Yes","No","No","81-90","4","Practical","8","Bad"
"340","Male","Rural","Under Graduate","20","9","Laptop","Middle Class","3","4","Yes","No","4","9","3","No","Yes","No","81-90","2","Practical","6","Average"
"341","Male","Urban","Under Graduate","20","6","Desktop","Middle Class","3","5","No","No","10","8","2","Yes","Yes","No","91-100","2","Both","8","Bad"
"342","Male","Rural","Under Graduate","19","9","Laptop","Middle Class","4","1","Yes","Yes","2","7","2","No","Yes","No","81-90","3","Both","9","Average"
"343","Female","Urban","Under Graduate","19","6","Laptop","Middle Class","3","3","No","Yes","5","9","3","No","Yes","No","81-90","1","Both","3","Average"
"344","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","5","Yes","No","4","8","4","Yes","Yes","No","71-80","3","Practical","7","Average"
"345","Female","Urban","Under Graduate","20","6","Laptop","Middle Class","4","5","Yes","No","4","7","2","No","No","yes","81-90","3","Practical","7","Good"
"346","Female","Urban","Under Graduate","20","7","Mobile","Middle Class","4","3","Yes","No","2","5","5","No","Yes","yes","91-100","2","Both","8","Average"
"347","Female","Rural","School","20","8","Laptop","Middle Class","10","3","Yes","Yes","5","6","2","No","Yes","yes","71-80","4","Practical","8","Good"
"348","Male","Urban","School","20","6","Laptop","Middle Class","4","4","Yes","No","5","6","2","Yes","Yes","No","51-60","2","Practical","6","Average"
"349","Male","Rural","Under Graduate","19","8","Mobile","Middle Class","4","4","No","No","6","7","3","Yes","No","No","81-90","2","Practical","5","Bad"
"350","Male","Urban","Under Graduate","20","1","Desktop","Middle Class","3","5","Yes","Yes","1","7","1","Yes","Yes","No","61-70","3","Both","10","Good"
"351","Female","Urban","Under Graduate","21","8","Mobile","Middle Class","4","4","No","No","7","7","2","Yes","No","No","81-90","4","Practical","7","Average"
"352","Female","Rural","Under Graduate","21","9","Laptop","Middle Class","3","3","No","No","6","7","3","Yes","Yes","No","71-80","3","Both","4","Average"
"353","Male","Urban","Under Graduate","19","7","Mobile","Middle Class","4","4","No","Yes","4","6","3","No","Yes","yes","81-90","3","Both","8","Average"
"354","Male","Urban","Under Graduate","22","8","Mobile","Middle Class","8","3","Yes","Yes","3","6","2","Yes","No","No","71-80","3","Both","8","Average"
"355","Female","Urban","Under Graduate","18","7","Laptop","Rich","4","5","Yes","Yes","4","7","3","No","Yes","yes","81-90","3","Theory","7","Good"
"356","Female","Urban","Under Graduate","19","7","Laptop","Middle Class","5","4","Yes","Yes","1","5","3","No","No","No","71-80","1","Theory","8","Bad"
"357","Female","Urban","Under Graduate","21","3","Laptop","Middle Class","10","5","No","Yes","3","8","1","No","No","No","81-90","2","Practical","6","Bad"
"358","Male","Urban","Under Graduate","20","7","Laptop","Rich","4","4","Yes","No","3","3","3","No","No","No","71-80","4","Both","10","Bad"
"359","Male","Rural","School","19","5","Laptop","Middle Class","8","2","No","No","4","7","1","Yes","Yes","No","81-90","2","Both","5","Bad"
"360","Female","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","No","No","3","6","5","Yes","Yes","yes","71-80","2","Theory","6","Bad"
"361","Female","Urban","Under Graduate","22","4","Laptop","Middle Class","4","4","Yes","No","3","6","7","Yes","No","No","61-70","4","Practical","10","Good"
"362","Female","Urban","Under Graduate","21","8","Mobile","Middle Class","4","4","Yes","Yes","5","4","3","No","Yes","yes","81-90","3","Theory","9","Average"
"363","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","4","3","Yes","Yes","4","5","3","Yes","No","No","71-80","2","Both","6","Average"
"364","Female","Urban","Under Graduate","21","9","Mobile","Middle Class","5","4","No","Yes","4","7","3","Yes","No","No","20-Nov","2","Theory","5","Bad"
"365","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","2","5","Yes","Yes","3","7","4","Yes","Yes","No","71-80","5","Both","8","Average"
"366","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","6","4","No","Yes","3","7","1","Yes","No","No","81-90","1","Theory","6","Average"
"367","Male","Urban","School","19","7","Laptop","Rich","3","4","Yes","No","2","8","4","No","No","yes","91-100","3","Both","8","Average"
"368","Female","Urban","Post Graduate","23","20","Mobile","Middle Class","5","5","No","No","1","9","8","Yes","No","No","81-90","2","Theory","5","Bad"
"369","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","5","5","No","No","6","7","3","No","Yes","No","71-80","3","Practical","7","Average"
"370","Female","Urban","Under Graduate","20","9","Laptop","Middle Class","4","4","No","Yes","3","6","2","Yes","Yes","No","81-90","3","Both","6","Average"
"371","Male","Urban","School","18","4","Laptop","Middle Class","4","5","Yes","No","2","7","3","No","No","No","81-90","2","Theory","8","Average"
"372","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","4","5","No","Yes","5","7","5","Yes","No","No","91-100","1","Theory","10","Average"
"373","Male","Urban","Under Graduate","19","5","Laptop","Middle Class","3","5","No","No","5","6","1","No","Yes","yes","81-90","2","Practical","7","Bad"
"374","Male","Rural","Under Graduate","19","5","Mobile","Middle Class","4","2","Yes","Yes","5","6","2","Yes","No","No","81-90","3","Practical","6","Good"
"375","Female","Urban","Under Graduate","20","7","Laptop","Rich","4","4","Yes","Yes","3","8","3","No","Yes","yes","81-90","3","Practical","6","Average"
"376","Female","Rural","Under Graduate","20","7","Laptop","Middle Class","5","3","No","No","5","8","5","No","Yes","No","81-90","1","Practical","2","Bad"
"377","Male","Rural","Under Graduate","21","7","Laptop","Middle Class","6","4","Yes","No","4","6","3","Yes","Yes","No","81-90","3","Practical","8","Bad"
"378","Male","Urban","Under Graduate","20","4","Laptop","Rich","4","5","No","No","1","6","2","Yes","No","No","61-70","1","Both","8","Bad"
"379","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","4","3","No","No","7","7","3","No","No","No","81-90","1","Practical","2","Bad"
"380","Female","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","No","No","2","7","8","No","Yes","yes","71-80","2","Practical","6","Average"
"381","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","5","5","Yes","Yes","4","7","2","No","Yes","No","81-90","2","Practical","5","Bad"
"382","Male","Urban","Under Graduate","19","4","Mobile","Middle Class","4","3","Yes","Yes","2","8","2","Yes","Yes","yes","51-60","2","Practical","3","Average"
"383","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","5","5","Yes","No","2","6","4","No","No","No","81-90","2","Both","5","Bad"
"384","Female","Rural","Under Graduate","19","8","Laptop","Middle Class","4","3","No","No","2","6","3","No","Yes","No","91-100","4","Both","6","Average"
